Date: 2023-12-16 20:59:18, Cost: 332.42
Date: 2023-12-16 21:07:00, Cost: 333.08
Date: 2023-12-16 21:12:26, Cost: 329.17
Date: 2023-12-16 21:20:20, Cost: 334.17
Date: 2023-12-16 21:23:52, Cost: 334.50
Date: 2023-12-17 01:29:28, Cost: 0.00
Date: 2023-12-17 01:32:41, Cost: 0.00
Date: 2023-12-17 02:27:48, Cost: 0.00
Date: 2023-12-17 02:30:47, Cost: 0.00
Date: 2023-12-17 02:45:40, Cost: 0.42
Date: 2023-12-17 03:03:42, Cost: 1.67
Date: 2023-12-17 03:56:57, Cost: 4.42
Date: 2023-12-17 06:32:57, Cost: 9.83
Date: 2023-12-17 07:14:41, Cost: 13.17
Date: 2023-12-17 07:16:14, Cost: 2.83
Date: 2023-12-17 07:16:56, Cost: 12.67
Date: 2023-12-17 07:21:21, Cost: 0.92
Date: 2023-12-17 07:28:22, Cost: 0.00
Date: 2023-12-17 07:31:27, Cost: 0.00
Date: 2023-12-17 13:30:34, Cost: 0.08
Date: 2023-12-17 13:45:32, Cost: 0.17
Date: 2023-12-17 15:22:04, Cost: 7.58
